pokemon,move,TM
AGGRON,ROCK_SLIDE,ROCK_SLIDE
AGGRON,SANDSTORM,SANDSTORM
AGGRON,SHOCK_WAVE,SHOCK_WAVE
AGGRON,SLEEP_TALK,SLEEP_TALK
AGGRON,STRENGTH,STRENGTH
AGGRON,SUBSTITUTE,SUBSTITUTE
AGGRON,SUNNY_DAY,SUNNY_DAY
AGGRON,SURF,SURF
AGGRON,THUNDER,THUNDER
AGGRON,THUNDERBOLT,THUNDERBOLT
AGGRON,TOXIC,TOXIC
AGGRON,WATER_PULSE,WATER_PULSE
AGGRON,WHIRLPOOL,WHIRLPOOL
ALOMOMOLA,BLIZZARD,BLIZZARD
ALOMOMOLA,CALM_MIND,CALM_MIND
ALOMOMOLA,HAIL,HAIL
ALOMOMOLA,HIDDEN_POWER,HIDDEN_POWER
ALOMOMOLA,HYDRO_PUMP,HYDRO_PUMP
ALOMOMOLA,ICE_BEAM,ICE_BEAM
ALOMOMOLA,PSYCHIC_M,PSYCHIC_M
ALOMOMOLA,RAIN_DANCE,RAIN_DANCE
ALOMOMOLA,RETURN,RETURN
ALOMOMOLA,SHADOW_BALL,SHADOW_BALL
ALOMOMOLA,SLEEP_TALK,SLEEP_TALK
ALOMOMOLA,SUBSTITUTE,SUBSTITUTE
ALOMOMOLA,SURF,SURF
ALOMOMOLA,TOXIC,TOXIC
ALOMOMOLA,WATER_PULSE,WATER_PULSE
ALOMOMOLA,WATERFALL,WATERFALL
ALOMOMOLA,WHIRLPOOL,WHIRLPOOL
AMAURA,BLIZZARD,BLIZZARD
AMAURA,BODY_SLAM,BODY_SLAM
AMAURA,CALM_MIND,CALM_MIND
AMAURA,DARK_PULSE,DARK_PULSE
AMAURA,FLASH,FLASH
AMAURA,HAIL,HAIL
AMAURA,HIDDEN_POWER,HIDDEN_POWER
AMAURA,HYPER_BEAM,HYPER_BEAM
AMAURA,HYPER_VOICE,HYPER_VOICE
AMAURA,ICE_BEAM,ICE_BEAM
AMAURA,IRON_HEAD,IRON_HEAD
AMAURA,RAIN_DANCE,RAIN_DANCE
AMAURA,RETURN,RETURN
AMAURA,ROCK_SLIDE,ROCK_SLIDE
AMAURA,SANDSTORM,SANDSTORM
AMAURA,SLEEP_TALK,SLEEP_TALK
AMAURA,SUBSTITUTE,SUBSTITUTE
AMAURA,THUNDERBOLT,THUNDERBOLT
AMAURA,TOXIC,TOXIC
AMAURA,ZEN_HEADBUTT,ZEN_HEADBUTT
ANGORE,BLIZZARD,BLIZZARD
ANGORE,CALM_MIND,CALM_MIND
ANGORE,HAIL,HAIL
ANGORE,HIDDEN_POWER,HIDDEN_POWER
ANGORE,HYDRO_PUMP,HYDRO_PUMP
ANGORE,ICE_BEAM,ICE_BEAM
ANGORE,PSYCHIC_M,PSYCHIC_M
ANGORE,RAIN_DANCE,RAIN_DANCE
ANGORE,RETURN,RETURN
ANGORE,SHADOW_BALL,SHADOW_BALL
ANGORE,SLEEP_TALK,SLEEP_TALK
ANGORE,SUBSTITUTE,SUBSTITUTE
ANGORE,SURF,SURF
ANGORE,TOXIC,TOXIC
ANGORE,WATER_PULSE,WATER_PULSE
ANGORE,WATERFALL,WATERFALL
ANGORE,WHIRLPOOL,WHIRLPOOL
ANGORE,BITE,BITE
ANGORE,GIGA_IMPACT,GIGA_IMPACT
ANGORE,HEADBUTT,HEADBUTT
ANGORE,IRON_HEAD,IRON_HEAD
APPLETUN,BODY_SLAM,BODY_SLAM
APPLETUN,EARTHQUAKE,EARTHQUAKE
APPLETUN,ENERGY_BALL,ENERGY_BALL
APPLETUN,GIGA_DRAIN,GIGA_DRAIN
APPLETUN,GIGA_IMPACT,GIGA_IMPACT
APPLETUN,HEADBUTT,HEADBUTT
APPLETUN,HYPER_BEAM,HYPER_BEAM
APPLETUN,SLEEP_TALK,SLEEP_TALK
APPLETUN,SUBSTITUTE,SUBSTITUTE
APPLETUN,SUNNY_DAY,SUNNY_DAY
ARAQUANID,BITE,BITE
ARAQUANID,BLIZZARD,BLIZZARD
ARAQUANID,GIGA_DRAIN,GIGA_DRAIN
ARAQUANID,HEADBUTT,HEADBUTT
ARAQUANID,HIDDEN_POWER,HIDDEN_POWER
ARAQUANID,HYDRO_PUMP,HYDRO_PUMP
ARAQUANID,ICE_BEAM,ICE_BEAM
ARAQUANID,POISON_JAB,POISON_JAB
ARAQUANID,RAIN_DANCE,RAIN_DANCE
ARAQUANID,RETURN,RETURN
ARAQUANID,SLEEP_TALK,SLEEP_TALK
ARAQUANID,SUBSTITUTE,SUBSTITUTE
ARAQUANID,SURF,SURF
ARAQUANID,TOXIC,TOXIC
ARAQUANID,WATERFALL,WATERFALL
ARCANINE,BITE,BITE
ARCANINE,BODY_SLAM,BODY_SLAM
ARCANINE,DIG,DIG
ARCANINE,DOUBLE_EDGE,DOUBLE_EDGE
ARCANINE,FIRE_BLAST,FIRE_BLAST
ARCANINE,FLAMETHROWER,FLAMETHROWER
ARCANINE,GIGA_IMPACT,GIGA_IMPACT
ARCANINE,HEADBUTT,HEADBUTT
ARCANINE,HIDDEN_POWER,HIDDEN_POWER
ARCANINE,HYPER_BEAM,HYPER_BEAM
ARCANINE,HYPER_VOICE,HYPER_VOICE
ARCANINE,IRON_HEAD,IRON_HEAD
ARCANINE,PLAY_ROUGH,PLAY_ROUGH
ARCANINE,RETURN,RETURN
ARCANINE,SLEEP_TALK,SLEEP_TALK
ARCANINE,STRENGTH,STRENGTH
ARCANINE,SUBSTITUTE,SUBSTITUTE
ARCANINE,SUNNY_DAY,SUNNY_DAY
ARCANINE,SWIFT,SWIFT
ARCANINE,TOXIC,TOXIC
ARCANINE,SINGE,SINGE
ARON,BODY_SLAM,BODY_SLAM
ARON,CUT,CUT
ARON,DIG,DIG
ARON,DOUBLE_EDGE,DOUBLE_EDGE
ARON,EARTHQUAKE,EARTHQUAKE
ARON,HEADBUTT,HEADBUTT
ARON,HIDDEN_POWER,HIDDEN_POWER
ARON,IRON_HEAD,IRON_HEAD
ARON,RAIN_DANCE,RAIN_DANCE
ARON,RETURN,RETURN
ARON,ROCK_SLIDE,ROCK_SLIDE
ARON,SANDSTORM,SANDSTORM
ARON,SHOCK_WAVE,SHOCK_WAVE
ARON,SLEEP_TALK,SLEEP_TALK
ARON,STRENGTH,STRENGTH
ARON,SUBSTITUTE,SUBSTITUTE
ARON,SUNNY_DAY,SUNNY_DAY
ARON,TOXIC,TOXIC
ARON,WATER_PULSE,WATER_PULSE
AURORUS,BLIZZARD,BLIZZARD
AURORUS,BODY_SLAM,BODY_SLAM
AURORUS,CALM_MIND,CALM_MIND
AURORUS,DARK_PULSE,DARK_PULSE
AURORUS,EARTHQUAKE,EARTHQUAKE
AURORUS,FLASH,FLASH
AURORUS,GIGA_IMPACT,GIGA_IMPACT
AURORUS,HAIL,HAIL
AURORUS,HIDDEN_POWER,HIDDEN_POWER
AURORUS,HYPER_BEAM,HYPER_BEAM
AURORUS,HYPER_VOICE,HYPER_VOICE
AURORUS,ICE_BEAM,ICE_BEAM
AURORUS,IRON_HEAD,IRON_HEAD
AURORUS,PSYCHIC_M,PSYCHIC_M
AURORUS,RAIN_DANCE,RAIN_DANCE
AURORUS,RETURN,RETURN
AURORUS,ROCK_SLIDE,ROCK_SLIDE
AURORUS,SANDSTORM,SANDSTORM
AURORUS,SLEEP_TALK,SLEEP_TALK
AURORUS,SUBSTITUTE,SUBSTITUTE
AURORUS,THUNDER,THUNDER
AURORUS,THUNDERBOLT,THUNDERBOLT
AURORUS,TOXIC,TOXIC
AURORUS,ZEN_HEADBUTT,ZEN_HEADBUTT
BAD_EGG,ZEN_HEADBUTT,ZEN_HEADBUTT
BAD_EGG,PSYCHIC_M,PSYCHIC_M
BAD_EGG,SUBSTITUTE,SUBSTITUTE
BAD_EGG,SIGNAL_BEAM,SIGNAL_BEAM
BAD_EGG,BODY_SLAM,BODY_SLAM
BAD_EGG,DOUBLE_EDGE,DOUBLE_EDGE
BAD_EGG,EARTHQUAKE,EARTHQUAKE
BAD_EGG,ENERGY_BALL,ENERGY_BALL
BAD_EGG,GIGA_IMPACT,GIGA_IMPACT
BAD_EGG,GIGA_DRAIN,GIGA_DRAIN
BAD_EGG,HEADBUTT,HEADBUTT
BAD_EGG,HIDDEN_POWER,HIDDEN_POWER
BAD_EGG,HYPER_BEAM,HYPER_BEAM
BAD_EGG,IRON_HEAD,IRON_HEAD
BAD_EGG,MOONBLAST,MOONBLAST
BAD_EGG,SLEEP_TALK,SLEEP_TALK
BAD_EGG,RETURN,RETURN
BAD_EGG,ROCK_SLIDE,ROCK_SLIDE
BAD_EGG,TOXIC,TOXIC
BAD_EGG,POISON_JAB,POISON_JAB
BARBOACH,BLIZZARD,BLIZZARD
BARBOACH,EARTHQUAKE,EARTHQUAKE
BARBOACH,HAIL,HAIL
BARBOACH,HIDDEN_POWER,HIDDEN_POWER
BARBOACH,HYDRO_PUMP,HYDRO_PUMP
BARBOACH,ICE_BEAM,ICE_BEAM
BARBOACH,RAIN_DANCE,RAIN_DANCE
BARBOACH,RETURN,RETURN
BARBOACH,SANDSTORM,SANDSTORM
BARBOACH,SLEEP_TALK,SLEEP_TALK
BARBOACH,SUBSTITUTE,SUBSTITUTE
BARBOACH,SURF,SURF
BARBOACH,TOXIC,TOXIC
BARBOACH,WATER_PULSE,WATER_PULSE
BARBOACH,WATERFALL,WATERFALL
BARBOACH,WHIRLPOOL,WHIRLPOOL
BELDUM,IRON_HEAD,IRON_HEAD
BELDUM,ZEN_HEADBUTT,ZEN_HEADBUTT
BEWEAR,BODY_SLAM,BODY_SLAM
BEWEAR,DOUBLE_EDGE,DOUBLE_EDGE
BEWEAR,EARTHQUAKE,EARTHQUAKE
BEWEAR,GIGA_IMPACT,GIGA_IMPACT
BEWEAR,HIDDEN_POWER,HIDDEN_POWER
BEWEAR,HYPER_BEAM,HYPER_BEAM
BEWEAR,ICE_PUNCH,ICE_PUNCH
BEWEAR,IRON_HEAD,IRON_HEAD
BEWEAR,RETURN,RETURN
BEWEAR,ROCK_SLIDE,ROCK_SLIDE
BEWEAR,SLEEP_TALK,SLEEP_TALK
BEWEAR,STRENGTH,STRENGTH
BEWEAR,SUBMISSION,SUBMISSION
BEWEAR,SUBSTITUTE,SUBSTITUTE
BEWEAR,TOXIC,TOXIC
BEWEAR,ZEN_HEADBUTT,ZEN_HEADBUTT
BLITZLE,FLASH,FLASH
BLITZLE,HIDDEN_POWER,HIDDEN_POWER
BLITZLE,RAIN_DANCE,RAIN_DANCE
BLITZLE,RETURN,RETURN
BLITZLE,SHOCK_WAVE,SHOCK_WAVE
BLITZLE,SLEEP_TALK,SLEEP_TALK
BLITZLE,SUBSTITUTE,SUBSTITUTE
BLITZLE,THUNDER,THUNDER
BLITZLE,THUNDERBOLT,THUNDERBOLT
BLITZLE,TOXIC,TOXIC
BLITZLE,SINGE,SINGE
BOLTUND,BITE,BITE
BOLTUND,DIG,DIG
BOLTUND,GIGA_IMPACT,GIGA_IMPACT
BOLTUND,HYPER_BEAM,HYPER_BEAM
BOLTUND,HYPER_VOICE,HYPER_VOICE
BOLTUND,PLAY_ROUGH,PLAY_ROUGH
BOLTUND,SLEEP_TALK,SLEEP_TALK
BOLTUND,SUBSTITUTE,SUBSTITUTE
BOLTUND,SWIFT,SWIFT
BOLTUND,THUNDER,THUNDER
BOLTUND,THUNDERBOLT,THUNDERBOLT
BOOMER,BITE,BITE
BOOMER,OMINOUS_WIND,OMINOUS_WIND
BOOMER,SHADOW_BALL,SHADOW_BALL
BOOMER,DARK_PULSE,DARK_PULSE
BOOMER,DIG,DIG
BOOMER,EARTHQUAKE,EARTHQUAKE
BOOMER,ENERGY_BALL,ENERGY_BALL
BOOMER,HEADBUTT,HEADBUTT
BOOMER,HIDDEN_POWER,HIDDEN_POWER
BOOMER,NIGHT_SLASH,NIGHT_SLASH
BOOMER,PSYBEAM,PSYBEAM
BOOMER,RETURN,RETURN
BOOMER,ROCK_SLIDE,ROCK_SLIDE
BOOMER,SUBMISSION,SUBMISSION
BOOMER,SUBSTITUTE,SUBSTITUTE
BOOMER,SWIFT,SWIFT
BOOMER,THUNDERBOLT,THUNDERBOLT
BOOMER,WATER_PULSE,WATER_PULSE
BOOMER,ZEN_HEADBUTT,ZEN_HEADBUTT
BOUFFALANT,BODY_SLAM,BODY_SLAM
BOUFFALANT,CUT,CUT
BOUFFALANT,EARTHQUAKE,EARTHQUAKE
BOUFFALANT,GIGA_IMPACT,GIGA_IMPACT
BOUFFALANT,HIDDEN_POWER,HIDDEN_POWER
BOUFFALANT,IRON_HEAD,IRON_HEAD
BOUFFALANT,POISON_JAB,POISON_JAB
BOUFFALANT,RAIN_DANCE,RAIN_DANCE
BOUFFALANT,RETURN,RETURN
BOUFFALANT,ROCK_SLIDE,ROCK_SLIDE
BOUFFALANT,SLEEP_TALK,SLEEP_TALK
BOUFFALANT,STRENGTH,STRENGTH
BOUFFALANT,SUBMISSION,SUBMISSION
BOUFFALANT,SUBSTITUTE,SUBSTITUTE
BOUFFALANT,SUNNY_DAY,SUNNY_DAY
BOUFFALANT,SURF,SURF
BOUFFALANT,TOXIC,TOXIC
BOUFFALANT,ZEN_HEADBUTT,ZEN_HEADBUTT
BOUNSWEET,ENERGY_BALL,ENERGY_BALL
BOUNSWEET,GIGA_DRAIN,GIGA_DRAIN
BOUNSWEET,HIDDEN_POWER,HIDDEN_POWER
BOUNSWEET,PLAY_ROUGH,PLAY_ROUGH
BOUNSWEET,RETURN,RETURN
BOUNSWEET,SLEEP_TALK,SLEEP_TALK
BOUNSWEET,SUBSTITUTE,SUBSTITUTE
BOUNSWEET,SUNNY_DAY,SUNNY_DAY
BOUNSWEET,TOXIC,TOXIC
BOUNSWEET,ZEN_HEADBUTT,ZEN_HEADBUTT
BRELOOM,CUT,CUT
BRELOOM,ENERGY_BALL,ENERGY_BALL
BRELOOM,FLASH,FLASH
BRELOOM,GIGA_DRAIN,GIGA_DRAIN
BRELOOM,GIGA_IMPACT,GIGA_IMPACT
BRELOOM,HEADBUTT,HEADBUTT
BRELOOM,HIDDEN_POWER,HIDDEN_POWER
BRELOOM,HYPER_BEAM,HYPER_BEAM
BRELOOM,RETURN,RETURN
BRELOOM,ROCK_SLIDE,ROCK_SLIDE
BRELOOM,SLEEP_TALK,SLEEP_TALK
BRELOOM,STRENGTH,STRENGTH
BRELOOM,SUBSTITUTE,SUBSTITUTE
BRELOOM,SUNNY_DAY,SUNNY_DAY
BRELOOM,TOXIC,TOXIC
BRUXISH,BITE,BITE
BRUXISH,BLIZZARD,BLIZZARD
BRUXISH,CALM_MIND,CALM_MIND
BRUXISH,GIGA_IMPACT,GIGA_IMPACT
BRUXISH,HIDDEN_POWER,HIDDEN_POWER
BRUXISH,ICE_BEAM,ICE_BEAM
BRUXISH,PSYCHIC_M,PSYCHIC_M
BRUXISH,RAIN_DANCE,RAIN_DANCE
BRUXISH,RETURN,RETURN
BRUXISH,SLEEP_TALK,SLEEP_TALK
BRUXISH,SUBSTITUTE,SUBSTITUTE
BRUXISH,SURF,SURF
BRUXISH,TOXIC,TOXIC
BRUXISH,WATERFALL,WATERFALL
BUIZEL,BLIZZARD,BLIZZARD
BUIZEL,DIG,DIG
BUIZEL,HAIL,HAIL
BUIZEL,HIDDEN_POWER,HIDDEN_POWER
BUIZEL,HYDRO_PUMP,HYDRO_PUMP
BUIZEL,ICE_BEAM,ICE_BEAM
BUIZEL,RAIN_DANCE,RAIN_DANCE
BUIZEL,RETURN,RETURN
BUIZEL,SLEEP_TALK,SLEEP_TALK
BUIZEL,STRENGTH,STRENGTH
BUIZEL,SUBSTITUTE,SUBSTITUTE
BUIZEL,SURF,SURF
BUIZEL,SWIFT,SWIFT
BUIZEL,TOXIC,TOXIC
BUIZEL,WATER_PULSE,WATER_PULSE
BUIZEL,WATERFALL,WATERFALL
BUIZEL,WHIRLPOOL,WHIRLPOOL
BURGELA,BODY_SLAM,BODY_SLAM
BURGELA,CUT,CUT
BURGELA,DOUBLE_EDGE,DOUBLE_EDGE
BURGELA,ENERGY_BALL,ENERGY_BALL
BURGELA,FLASH,FLASH
BURGELA,GIGA_DRAIN,GIGA_DRAIN
BURGELA,GIGA_IMPACT,GIGA_IMPACT
BURGELA,HEADBUTT,HEADBUTT
BURGELA,HIDDEN_POWER,HIDDEN_POWER
BURGELA,HYPER_BEAM,HYPER_BEAM
BURGELA,RETURN,RETURN
BURGELA,SHOCK_WAVE,SHOCK_WAVE
BURGELA,SLEEP_TALK,SLEEP_TALK
BURGELA,STRENGTH,STRENGTH
BURGELA,SUBSTITUTE,SUBSTITUTE
BURGELA,SUNNY_DAY,SUNNY_DAY
BURGELA,TOXIC,TOXIC
BUZZEON,BITE,BITE
BUZZEON,BODY_SLAM,BODY_SLAM
BUZZEON,DIG,DIG
BUZZEON,DOUBLE_EDGE,DOUBLE_EDGE
BUZZEON,FLASH,FLASH
BUZZEON,GIGA_IMPACT,GIGA_IMPACT
BUZZEON,HEADBUTT,HEADBUTT
BUZZEON,HIDDEN_POWER,HIDDEN_POWER
BUZZEON,HYPER_BEAM,HYPER_BEAM
BUZZEON,HYPER_VOICE,HYPER_VOICE
BUZZEON,POISON_JAB,POISON_JAB
BUZZEON,RETURN,RETURN
BUZZEON,PLAY_ROUGH,PLAY_ROUGH
BUZZEON,SIGNAL_BEAM,SIGNAL_BEAM
BUZZEON,GIGA_DRAIN,GIGA_DRAIN
BUZZEON,FLY,FLY
BUZZEON,SUBSTITUTE,SUBSTITUTE
BUZZEON,ZEN_HEADBUTT,ZEN_HEADBUTT
BUZZEON,SWIFT,SWIFT
BUZZEON,TOXIC,TOXIC
CARRACOSTA,BITE,BITE
CARRACOSTA,BLIZZARD,BLIZZARD
CARRACOSTA,BODY_SLAM,BODY_SLAM
CARRACOSTA,DIG,DIG
CARRACOSTA,EARTHQUAKE,EARTHQUAKE
CARRACOSTA,GIGA_IMPACT,GIGA_IMPACT
CARRACOSTA,HIDDEN_POWER,HIDDEN_POWER
CARRACOSTA,HYDRO_PUMP,HYDRO_PUMP
CARRACOSTA,HYPER_BEAM,HYPER_BEAM
CARRACOSTA,ICE_BEAM,ICE_BEAM
CARRACOSTA,IRON_HEAD,IRON_HEAD
CARRACOSTA,RAIN_DANCE,RAIN_DANCE
CARRACOSTA,RETURN,RETURN
CARRACOSTA,ROCK_SLIDE,ROCK_SLIDE
CARRACOSTA,SANDSTORM,SANDSTORM
CARRACOSTA,SLEEP_TALK,SLEEP_TALK
CARRACOSTA,STRENGTH,STRENGTH
CARRACOSTA,SUBSTITUTE,SUBSTITUTE
CARRACOSTA,SURF,SURF
CARRACOSTA,TOXIC,TOXIC
CARRACOSTA,WATER_PULSE,WATER_PULSE
CARRACOSTA,WATERFALL,WATERFALL
CARRACOSTA,WHIRLPOOL,WHIRLPOOL
CARRACOSTA,ZEN_HEADBUTT,ZEN_HEADBUTT
CENTISKORCH,BITE,BITE
CENTISKORCH,FIRE_BLAST,FIRE_BLAST
CENTISKORCH,FLAMETHROWER,FLAMETHROWER
CENTISKORCH,GIGA_IMPACT,GIGA_IMPACT
CENTISKORCH,HYPER_BEAM,HYPER_BEAM
CENTISKORCH,SLEEP_TALK,SLEEP_TALK
CENTISKORCH,STRENGTH,STRENGTH
CENTISKORCH,SUBSTITUTE,SUBSTITUTE
CENTISKORCH,SUNNY_DAY,SUNNY_DAY
CHANDELURE,CALM_MIND,CALM_MIND
CHANDELURE,DARK_PULSE,DARK_PULSE
CHANDELURE,ENERGY_BALL,ENERGY_BALL
CHANDELURE,FIRE_BLAST,FIRE_BLAST
CHANDELURE,FLAMETHROWER,FLAMETHROWER
CHANDELURE,FLASH,FLASH
CHANDELURE,GIGA_IMPACT,GIGA_IMPACT
CHANDELURE,HIDDEN_POWER,HIDDEN_POWER
CHANDELURE,HYPER_BEAM,HYPER_BEAM
CHANDELURE,OMINOUS_WIND,OMINOUS_WIND
CHANDELURE,PSYCHIC_M,PSYCHIC_M
CHANDELURE,RETURN,RETURN
CHANDELURE,SHADOW_BALL,SHADOW_BALL
CHANDELURE,SLEEP_TALK,SLEEP_TALK
CHANDELURE,SUBSTITUTE,SUBSTITUTE
CHANDELURE,SUNNY_DAY,SUNNY_DAY
CHANDELURE,TOXIC,TOXIC
CHARJABUG,BITE,BITE
CHARJABUG,DIG,DIG
CHARJABUG,HIDDEN_POWER,HIDDEN_POWER
CHARJABUG,POISON_JAB,POISON_JAB
CHARJABUG,RAIN_DANCE,RAIN_DANCE
CHARJABUG,RETURN,RETURN
CHARJABUG,SHOCK_WAVE,SHOCK_WAVE
CHARJABUG,SLEEP_TALK,SLEEP_TALK
CHARJABUG,SUBSTITUTE,SUBSTITUTE
CHARJABUG,THUNDERBOLT,THUNDERBOLT
CHARJABUG,TOXIC,TOXIC
CHATOT,FLY,FLY
CHATOT,HIDDEN_POWER,HIDDEN_POWER
CHATOT,HYPER_VOICE,HYPER_VOICE
CHATOT,RAIN_DANCE,RAIN_DANCE
CHATOT,RETURN,RETURN
CHATOT,SLEEP_TALK,SLEEP_TALK
CHATOT,SUBSTITUTE,SUBSTITUTE
CHATOT,SUNNY_DAY,SUNNY_DAY
CHATOT,TOXIC,TOXIC
CHERRIM,ENERGY_BALL,ENERGY_BALL
CHERRIM,FLASH,FLASH
CHERRIM,GIGA_DRAIN,GIGA_DRAIN
CHERRIM,GIGA_IMPACT,GIGA_IMPACT
CHERRIM,HIDDEN_POWER,HIDDEN_POWER
CHERRIM,HYPER_BEAM,HYPER_BEAM
CHERRIM,PLAY_ROUGH,PLAY_ROUGH
CHERRIM,RETURN,RETURN
CHERRIM,SLEEP_TALK,SLEEP_TALK
CHERRIM,SOLARBEAM,SOLARBEAM
CHERRIM,SUBSTITUTE,SUBSTITUTE
CHERRIM,SUNNY_DAY,SUNNY_DAY
CHERRIM,TOXIC,TOXIC
CHERUBI,ENERGY_BALL,ENERGY_BALL
CHERUBI,FLASH,FLASH
CHERUBI,GIGA_DRAIN,GIGA_DRAIN
CHERUBI,HIDDEN_POWER,HIDDEN_POWER
CHERUBI,RETURN,RETURN
CHERUBI,SLEEP_TALK,SLEEP_TALK
CHERUBI,SOLARBEAM,SOLARBEAM
CHERUBI,SUBSTITUTE,SUBSTITUTE
CHERUBI,SUNNY_DAY,SUNNY_DAY
CHERUBI,TOXIC,TOXIC
CHINCHOU,BLIZZARD,BLIZZARD
CHINCHOU,FLASH,FLASH
CHINCHOU,HAIL,HAIL
CHINCHOU,HIDDEN_POWER,HIDDEN_POWER
CHINCHOU,HYDRO_PUMP,HYDRO_PUMP
CHINCHOU,ICE_BEAM,ICE_BEAM
CHINCHOU,RAIN_DANCE,RAIN_DANCE
CHINCHOU,RETURN,RETURN
CHINCHOU,SHOCK_WAVE,SHOCK_WAVE
CHINCHOU,SIGNAL_BEAM,SIGNAL_BEAM
CHINCHOU,SLEEP_TALK,SLEEP_TALK
CHINCHOU,SUBSTITUTE,SUBSTITUTE
CHINCHOU,SURF,SURF
CHINCHOU,THUNDER,THUNDER
CHINCHOU,THUNDERBOLT,THUNDERBOLT
CHINCHOU,TOXIC,TOXIC
CHINCHOU,WATER_PULSE,WATER_PULSE
CHINCHOU,WATERFALL,WATERFALL
CHINCHOU,WHIRLPOOL,WHIRLPOOL
CHOMP,BITE,BITE
CHOMP,IRON_HEAD,IRON_HEAD
CHOMP,BODY_SLAM,BODY_SLAM
CHOMP,DIG,DIG
CHOMP,DOUBLE_EDGE,DOUBLE_EDGE
CHOMP,EARTHQUAKE,EARTHQUAKE
CHOMP,GIGA_IMPACT,GIGA_IMPACT
CHOMP,HEADBUTT,HEADBUTT
CHOMP,HIDDEN_POWER,HIDDEN_POWER
CHOMP,PLAY_ROUGH,PLAY_ROUGH
CHOMP,RETURN,RETURN
CHOMP,ROCK_SLIDE,ROCK_SLIDE
CHOMP,SUBMISSION,SUBMISSION
CHOMP,SWIFT,SWIFT
CHOMP,ZEN_HEADBUTT,ZEN_HEADBUTT
CLAUNCHER,CUT,CUT
CLAUNCHER,DARK_PULSE,DARK_PULSE
CLAUNCHER,SURF,SURF
CLAUNCHER,WATER_PULSE,WATER_PULSE
CLAUNCHER,WATERFALL,WATERFALL
CLAWITZER,CUT,CUT
CLAWITZER,DARK_PULSE,DARK_PULSE
CLAWITZER,SURF,SURF
CLAWITZER,WATER_PULSE,WATER_PULSE
CLAWITZER,WATERFALL,WATERFALL
CLOBBOPUS,BODY_SLAM,BODY_SLAM
CLOBBOPUS,ICE_PUNCH,ICE_PUNCH
CLOBBOPUS,SLEEP_TALK,SLEEP_TALK
CLOBBOPUS,SUBMISSION,SUBMISSION
CLOBBOPUS,SUBSTITUTE,SUBSTITUTE
CLOBBOPUS,WATERFALL,WATERFALL
COMBEE,SIGNAL_BEAM,SIGNAL_BEAM
COMBEE,SWIFT,SWIFT
COMBEE,HIDDEN_POWER,HIDDEN_POWER
COMBEE,SUBSTITUTE,SUBSTITUTE
CORVIKNIGHT,BODY_SLAM,BODY_SLAM
CORVIKNIGHT,FLY,FLY
CORVIKNIGHT,GIGA_IMPACT,GIGA_IMPACT
CORVIKNIGHT,HYPER_BEAM,HYPER_BEAM
CORVIKNIGHT,IRON_HEAD,IRON_HEAD
CORVIKNIGHT,SLEEP_TALK,SLEEP_TALK
CORVIKNIGHT,SUBSTITUTE,SUBSTITUTE
CORVIKNIGHT,SWIFT,SWIFT
CORVISQUIRE,FLY,FLY
CORVISQUIRE,SLEEP_TALK,SLEEP_TALK
CORVISQUIRE,SUBSTITUTE,SUBSTITUTE
CORVISQUIRE,SWIFT,SWIFT
CROAGUNK,DARK_PULSE,DARK_PULSE
CROAGUNK,DIG,DIG
CROAGUNK,EARTHQUAKE,EARTHQUAKE
